Name,Location,Image
Ilulissat Kangerlua,Greenland,https://guidetogreenland.com/wp-content/uploads/2020/06/Visit-Greenland-Mads-Pihl-north-ilulissat-accommodation-view-from-hotel-arctic-1024x499.jpg
Sinai,Egypt,https://jakadatoursegypt.com/wp-content/uploads/2020/12/Sinai-Peninsula.jpg
Pao De Acucar,Brazil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsCPphg2-dZFTJna2Hy1qx06Hr5GONUUycJiTuX_x6hdTdZOZNkmq5MD8yHQVYuSoEb7g&usqp=CAU
Mezquita of Cordoba,Spain,https://www.mezquitadecordoba.org/images/info/pagina-historia-mezquita.jpg
Lalibela,Ethiopia,https://whc.unesco.org/uploads/thumbs/site_0018_0016-1200-630-20151104173458.jpg
Arashiyama,Japan,https://resources.matcha-jp.com/resize/720x2000/2019/05/16-77129.jpeg
Lake Bled,Slovenia,https://s27363.pcdn.co/wp-content/uploads/2020/05/Things-to-do-in-Lake-Bled-1200x900.jpg.optimal.jpg
Redwood National Park,California,https://localadventurer.com/wp-content/uploads/2021/11/what-to-do-at-redwood-national-park.jpg
Chichen Itza,Mexico,https://cdn.vallarta-adventures.com/sites/default/files/2021-05/CHichen10.jpeg
Masai Mara,Kenya,https://upload.wikimedia.org/wikipedia/commons/1/17/Masai_Mara_at_Sunset.jpg
Metropolitan Museum of Art,USA,http://www.metmuseum.org/-/media/images/visit/met-fifth-avenue/fifthave_teaser.jpg?sc_lang=en
Franz Josef Glacier,New Zealand,https://www.newzealand.com/assets/Tourism-NZ/West-Coast/6db30df60c/img-1536280982-3035-15788-F384E624-9404-2963-6B0FCA6AEAB2CB13__aWxvdmVrZWxseQo_CropResizeWzUwMCwzNzUsODAsImpwZyJd.jpg
Valley of the Kings,Egypt,https://lp-cms-production.imgix.net/2019-06/f6e18c09be072890091813ba173e0fae-valley-of-the-kings.jpg
Hoi An,Vietnam,https://a.cdn-hotels.com/gdcs/production6/d195/7c204b24-342a-428a-88f8-11a34052999a.jpg
Monument Valley,USA,https://www.mygrandcanyonpark.com/wp-content/uploads/2019/10/Monument-Valley-view-from-Hunts-Mesa_shutterstock_2400.jpg
St. Peter's Basilica,Vatican City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg/800px-Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg
Dome of the Rock,Israel,https://i0.wp.com/www.touristisrael.com/wp-content/uploads/2019/08/Temple-Mount-Copy.jpg?fit=1920%2C1080&ssl=1
Red Square,Russia,https://lp-cms-production.imgix.net/features/2015/04/State-History-Museum-Red-Square-Moscow_cs.jpg?auto=compress&fit=crop&fm=auto&q=50&w=1200&h=800
Forbidden City,China,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbZ0IEL2uaL1rLUFUFRjAgDMMo1JBo5VxJDVYGu9XLSo3kHGMxIjEDt2MIy2x-QCOiACw&usqp=CAU
Uffizi Gallery,Italy,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/86/0f/67.jpg
Everest Base Camp Trek,Nepal,https://c.files.bbci.co.uk/8165/production/_125452133_getty_base_climbers.jpg
Shwedagon Pagoda,Myanmar,https://www.tripsavvy.com/thmb/WreZEs-qSvUkqshCk26E5WYvBv0=/3292x3292/smart/filters:no_upscale()/shwedagon-pagoda-yangon-5a0e73e44e4f7d0036a76931.jpg
Teotihuacan,Mexico,https://cdn.britannica.com/42/178942-050-5CF05C54/Pyramid-Moon-Teotihuacan-Mexico.jpg
Blue Lagoon,Iceland,https://media-cdn.tripadvisor.com/media/photo-s/12/4f/e1/b6/blue-lagoon.jpg
Lake Wanaka,New Zealand,https://static.toiimg.com/photo/69466850.cms
